time,p1,p2,p3,v1,v2,v3,r11,r12,r13,r11,r12,r13,r11,r12,r13,omega1,omega2,omega3,
2.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.988575,0.078155,0.128886,-0.018542,-0.911633,0.410588,0.149586,0.403507,0.902666,0.581843,-0.139392,1.036482,
2.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.982393,0.168755,0.080158,-0.128538,-0.921888,0.365514,0.135579,0.348775,0.927348,0.610028,-0.096607,1.027904,
3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.964392,0.261286,0.040956,-0.236009,-0.920096,0.312606,0.119363,0.291809,0.948999,0.629882,-0.048646,1.021601,
3.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.935064,0.354262,0.012386,-0.339732,-0.905590,0.253948,0.101181,0.233250,0.967138,0.640584,0.002718,1.017753,
3.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.895001,0.446038,-0.004854,-0.438594,-0.877976,0.191816,0.081295,0.173805,0.981419,0.641655,0.055576,1.016448,
3.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.844871,0.534866,-0.010508,-0.531596,-0.837180,0.128588,0.059980,0.114226,0.991642,0.632988,0.107953,1.017669,
3.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.785406,0.618963,-0.004772,-0.617844,-0.783471,0.066647,0.037513,0.055294,0.997765,0.614859,0.157889,1.021301,
3.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.717377,0.696587,0.011708,-0.696541,-0.717469,0.008281,0.014168,-0.002215,0.999897,0.587919,0.203521,1.027133,
3.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.641597,0.766106,0.037873,-0.766980,-0.640132,-0.044421,-0.009788,-0.057548,0.998295,0.553173,0.243167,1.034863,
3.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.558906,0.826073,0.072297,-0.828529,-0.552722,-0.089650,-0.034097,-0.110006,0.993346,0.511937,0.275400,1.044116,
3.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.470180,0.875273,0.113260,-0.880629,-0.456758,-0.125953,-0.058511,-0.158960,0.985550,0.465777,0.299111,1.054458,
3.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.376326,0.912772,0.158827,-0.922781,-0.353953,-0.152291,-0.082790,-0.203873,0.975490,0.416439,0.313556,1.065419,
4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.278293,0.937938,0.206942,-0.954551,-0.246140,-0.168070,-0.106702,-0.244310,0.963809,0.365764,0.318384,1.076515,
4.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.177078,0.950448,0.255523,-0.975571,-0.135208,-0.173147,-0.130019,-0.279942,0.951172,0.315607,0.313646,1.087269,
4.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.073722,0.950278,0.302550,-0.985548,-0.023026,-0.167825,-0.152514,-0.310550,0.938242,0.267752,0.299779,1.097235,
4.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030680,0.937677,0.346150,-0.984274,0.088616,-0.152812,-0.173962,-0.336019,0.925650,0.223834,0.277578,1.106015,
4.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134986,0.913130,0.384671,-0.971643,0.198052,-0.129173,-0.194137,-0.356326,0.913971,0.185277,0.248141,1.113277,
4.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.238018,0.877314,0.416735,-0.947660,0.303783,-0.098271,-0.212812,-0.371533,0.903701,0.153237,0.212816,1.118763,
4.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.338568,0.831048,0.441284,-0.912459,0.404491,-0.061687,-0.229760,-0.381768,0.895245,0.128568,0.173126,1.122302,
4.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.435417,0.775252,0.457598,-0.866316,0.499048,-0.021152,-0.244762,-0.387214,0.888908,0.111802,0.130702,1.123809,
4.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.527356,0.710902,0.465311,-0.809652,0.586515,0.021534,-0.257603,-0.388096,0.884885,0.103143,0.087205,1.123286,
4.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.613207,0.638993,0.464398,-0.743040,0.666124,0.064576,-0.268083,-0.384665,0.883269,0.102478,0.044264,1.120813,
