time,p1,p2,p3,v1,v2,v3,r11,r12,r13,r11,r12,r13,r11,r12,r13,omega1,omega2,omega3,
13.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.773491,-0.583543,0.247364,0.578591,-0.809431,-0.100266,0.258734,0.065568,0.963721,0.253787,-0.021541,1.052707,
13.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.830350,-0.495292,0.255351,0.487515,-0.867640,-0.097620,0.269903,0.043428,0.961908,0.247705,-0.025370,1.054088,
14.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.877518,-0.401302,0.262524,0.390767,-0.915718,-0.093606,0.277962,0.020445,0.960374,0.242499,-0.030334,1.055168,
14.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.914447,-0.302668,0.268660,0.289476,-0.953091,-0.088438,0.282825,-0.003101,0.959167,0.238352,-0.036211,1.055911,
14.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.940710,-0.200545,0.273582,0.184820,-0.979315,-0.082368,0.284441,-0.026921,0.958315,0.235399,-0.042752,1.056295,
14.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.956001,-0.096126,0.277168,0.078015,-0.994076,-0.075673,0.282800,-0.050720,0.957837,0.233723,-0.049692,1.056311,
14.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.960143,0.009364,0.279351,-0.029696,-0.997199,-0.068640,0.277926,-0.074200,0.957732,0.233356,-0.056760,1.055967,
14.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.953089,0.114691,0.280121,-0.137063,-0.988648,-0.061560,0.269880,-0.097067,0.957989,0.234278,-0.063689,1.055284,
14.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.934919,0.218622,0.279520,-0.242838,-0.968523,-0.054715,0.258760,-0.119032,0.958580,0.236419,-0.070227,1.054294,
14.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.905843,0.319940,0.277645,-0.345791,-0.937064,-0.048363,0.244698,-0.139817,0.959466,0.239666,-0.076149,1.053042,
14.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.866198,0.417465,0.274634,-0.444725,-0.894647,-0.042737,0.227859,-0.159155,0.960599,0.243867,-0.081257,1.051579,
14.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.816444,0.510058,0.270665,-0.538490,-0.841774,-0.038030,0.208442,-0.176800,0.961922,0.248839,-0.085395,1.049965,
15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.757157,0.596645,0.265947,-0.625992,-0.779071,-0.034392,0.186672,-0.192520,0.963374,0.254375,-0.088448,1.048261,
15.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.689027,0.676221,0.260706,-0.706214,-0.707279,-0.031926,0.162803,-0.206112,0.964890,0.260257,-0.090348,1.046530,
15.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.612843,0.747867,0.255183,-0.778218,-0.627244,-0.030686,0.137112,-0.217394,0.966406,0.266259,-0.091074,1.044835,
15.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.529493,0.810758,0.249617,-0.841166,-0.539906,-0.030677,0.109898,-0.226212,0.967859,0.272160,-0.090647,1.043235,
15.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.439946,0.864173,0.244241,-0.894321,-0.446291,-0.031853,0.081476,-0.232443,0.969191,0.277752,-0.089136,1.041782,
15.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.345245,0.907500,0.239271,-0.937061,-0.347493,-0.034127,0.052174,-0.235993,0.970353,0.282845,-0.086646,1.040521,
15.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.246495,0.940246,0.234898,-0.968887,-0.244667,-0.037372,0.022333,-0.236802,0.971301,0.287276,-0.083314,1.039489,
15.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.144847,0.962043,0.231285,-0.989424,-0.139010,-0.041428,-0.007704,-0.234840,0.972004,0.290916,-0.079307,1.038711,
15.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.041488,0.972646,0.228556,-0.998432,-0.031753,-0.046108,-0.037589,-0.230110,0.972438,0.293666,-0.074809,1.038203,
15.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062376,0.971942,0.226797,-0.995803,0.075857,-0.051211,-0.066978,-0.222651,0.972595,0.295470,-0.070015,1.037971,
16.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.165532,0.959947,0.226055,-0.981567,0.182571,-0.056524,-0.095532,-0.212532,0.972473,0.296308,-0.065126,1.038007,
16.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.266773,0.936806,0.226334,-0.955888,0.287148,-0.061837,-0.122921,-0.199853,0.972085,0.296197,-0.060336,1.038296,
16.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.364918,0.902792,0.227597,-0.919067,0.388374,-0.066946,-0.148831,-0.184748,0.971451,0.295191,-0.055829,1.038813,
16.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.458820,0.858305,0.229775,-0.871532,0.485075,-0.071661,-0.172965,-0.167377,0.970602,0.293375,-0.051770,1.039526,
16.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.547381,0.803863,0.232761,-0.813837,0.576126,-0.075816,-0.195045,-0.147929,0.969574,0.290863,-0.048301,1.040395,
16.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.629568,0.740100,0.236424,-0.746657,0.660469,-0.079273,-0.214820,-0.126620,0.968411,0.287790,-0.045534,1.041377,
16.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.704419,0.667758,0.240611,-0.670775,0.737122,-0.081924,-0.232065,-0.103687,0.967158,0.284309,-0.043552,1.042426,
16.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.771062,0.587676,0.245154,-0.587077,0.805192,-0.083698,-0.246583,-0.079388,0.965865,0.280579,-0.042403,1.043497,
16.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.828719,0.500785,0.249878,-0.496540,0.863885,-0.084558,-0.258211,-0.054000,0.964578,0.276767,-0.042099,1.044542,
16.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.876717,0.408097,0.254607,-0.400219,0.912515,-0.084505,-0.266819,-0.027812,0.963345,0.273032,-0.042623,1.045520,
17.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.914496,0.310688,0.259172,-0.299238,0.950511,-0.083573,-0.272311,-0.001127,0.962209,0.269528,-0.043922,1.046391,
17.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.941617,0.209691,0.263416,-0.194774,0.977429,-0.081832,-0.274629,0.025747,0.961205,0.266390,-0.045920,1.047123,
17.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.957762,0.106284,0.267200,-0.088045,0.992949,-0.079375,-0.273752,0.052497,0.960367,0.263737,-0.048512,1.047690,
17.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.962745,0.001671,0.270407,0.019707,0.996888,-0.076323,-0.269693,0.078809,0.959716,0.261663,-0.051576,1.048073,
17.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.956506,-0.102929,0.272949,0.127225,0.989198,-0.072814,-0.262506,0.104373,0.959269,0.260236,-0.054978,1.048261,
17.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.939120,-0.206297,0.274764,0.233259,0.969964,-0.068996,-0.252277,0.128887,0.959033,0.259497,-0.058572,1.048251,
17.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.910788,-0.307227,0.275820,0.336574,0.939409,-0.065027,-0.239130,0.152060,0.959007,0.259457,-0.062215,1.048048,
17.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.871840,-0.404541,0.276118,0.435966,0.897889,-0.061061,-0.223222,0.173614,0.959182,0.260102,-0.065762,1.047663,
17.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.822730,-0.497105,0.275685,0.530280,0.845887,-0.057248,-0.204740,0.193290,0.959542,0.261390,-0.069081,1.047116,
17.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.764028,-0.583840,0.274575,0.618418,0.784011,-0.053725,-0.183903,0.210849,0.960064,0.263257,-0.072052,1.046431,
18.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.696419,-0.663735,0.272868,0.699352,0.712983,-0.050613,-0.160957,0.226079,0.960719,0.265618,-0.074573,1.045637,
18.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.620688,-0.735859,0.270662,0.772143,0.633633,-0.048013,-0.136169,0.238791,0.961476,0.268373,-0.076564,1.044765,
