time,omega1,omega2,omega3,rotation11,rotation12,rotation13,rotation21,rotation22,rotation23,rotation31,rotation32,rotation33,ell1,ell2,ell3,energy,
0.300000,-0.482623,1.011320,9.975384,-0.990698,-0.132625,0.030464,0.134669,-0.987694,0.079532,0.019541,0.082895,0.996367,5.000005,0.000010,129.999999,652.499998,
0.310000,-0.541958,0.970417,9.977337,-0.999238,-0.033409,0.020173,0.034840,-0.996553,0.075287,0.017588,0.075932,0.996958,5.000003,0.000010,130.000000,652.499998,
0.320000,-0.598716,0.924871,9.979417,-0.997746,0.066220,0.010797,-0.065315,-0.995444,0.069459,0.015347,0.068597,0.997526,5.000002,0.000009,130.000000,652.499998,
0.330000,-0.652625,0.874895,9.981583,-0.986245,0.165268,0.002588,-0.164789,-0.984364,0.062226,0.012832,0.060943,0.998059,5.000001,0.000008,130.000000,652.499999,
0.340000,-0.703426,0.820725,9.983795,-0.964857,0.262742,-0.004237,-0.262584,-0.963408,0.053806,0.010055,0.053027,0.998542,5.000000,0.000007,130.000000,652.499999,
0.350000,-0.750873,0.762618,9.986010,-0.933803,0.357662,-0.009501,-0.357719,-0.932771,0.044450,0.007036,0.044907,0.998966,4.999999,0.000006,130.000000,652.499999,
0.360000,-0.794738,0.700848,9.988186,-0.893401,0.449069,-0.013072,-0.449243,-0.892745,0.034438,0.003795,0.036640,0.999321,4.999999,0.000005,130.000000,652.499999,
0.370000,-0.834808,0.635711,9.990281,-0.844064,0.536036,-0.014867,-0.536242,-0.843721,0.024064,0.000356,0.028284,0.999600,4.999999,0.000003,130.000000,652.499999,
0.380000,-0.870887,0.567515,9.992255,-0.786290,0.617679,-0.014852,-0.617848,-0.786179,0.013636,-0.003254,0.019898,0.999797,4.999998,0.000002,130.000000,652.499999,
0.390000,-0.902801,0.496588,9.994070,-0.720663,0.693162,-0.013048,-0.693250,-0.720689,0.003460,-0.007005,0.011539,0.999909,4.999999,0.000001,130.000000,652.499999,
0.400000,-0.930394,0.423268,9.995692,-0.647843,0.761714,-0.009526,-0.761696,-0.647904,-0.006164,-0.010867,0.003262,0.999936,4.999999,-0.000000,130.000000,652.499999,
0.410000,-0.953530,0.347908,9.997090,-0.568560,0.822630,-0.004407,-0.822508,-0.568556,-0.014953,-0.014807,-0.004877,0.999878,5.000000,-0.000002,130.000000,652.500000,
0.420000,-0.972097,0.270870,9.998236,-0.483608,0.875282,0.002143,-0.875082,-0.483443,-0.022649,-0.018788,-0.012829,0.999741,5.000000,-0.000003,130.000000,652.500000,
0.430000,-0.986002,0.192525,9.999109,-0.393838,0.919126,0.009915,-0.918897,-0.393426,-0.029024,-0.022776,-0.020541,0.999530,5.000001,-0.000004,130.000000,652.500000,
0.440000,-0.995179,0.113250,9.999692,-0.300144,0.953711,0.018665,-0.953519,-0.299420,-0.033890,-0.026732,-0.027970,0.999251,5.000003,-0.000004,130.000000,652.500000,
0.450000,-0.999581,0.033429,9.999973,-0.203461,0.978679,0.028123,-0.978604,-0.202379,-0.037103,-0.030620,-0.035070,0.998916,5.000004,-0.000005,130.000000,652.500000,
0.460000,-0.999187,-0.046553,9.999948,-0.104752,0.993772,0.037995,-0.993903,-0.103292,-0.038566,-0.034401,-0.041803,0.998533,5.000005,-0.000005,130.000000,652.500000,
0.470000,-0.993999,-0.126311,9.999616,-0.005002,0.998836,0.047977,-0.999263,-0.003168,-0.038235,-0.038038,-0.048133,0.998116,5.000006,-0.000005,130.000000,652.500000,
0.480000,-0.984043,-0.205459,9.998985,0.094796,0.993819,0.057762,-0.994631,0.096973,-0.036116,-0.041494,-0.054028,0.997677,5.000008,-0.000005,130.000000,652.500000,
0.490000,-0.969367,-0.283615,9.998066,0.193648,0.978777,0.067048,-0.980050,0.196110,-0.032267,-0.044731,-0.059462,0.997228,5.000009,-0.000004,130.000000,652.500000,
0.500000,-0.950043,-0.360403,9.996877,0.290568,0.953867,0.075547,-0.955664,0.293237,-0.026799,-0.047716,-0.064411,0.996782,5.000010,-0.000004,130.000000,652.499999,
0.510000,-0.926167,-0.435453,9.995441,0.384588,0.919350,0.082994,-0.921710,0.387369,-0.019867,-0.050414,-0.068856,0.996352,5.000011,-0.000003,129.999999,652.499999,
0.520000,-0.897855,-0.508404,9.993785,0.474769,0.875583,0.089154,-0.878525,0.477552,-0.011669,-0.052793,-0.072784,0.995949,5.000012,-0.000002,129.999999,652.499999,
0.530000,-0.865246,-0.578906,9.991941,0.560208,0.823020,0.093830,-0.826535,0.562879,-0.002442,-0.054825,-0.076186,0.995585,5.000013,-0.000001,129.999999,652.499999,
0.540000,-0.828499,-0.646621,9.989944,0.640049,0.762203,0.096866,-0.766254,0.642492,0.007548,-0.056483,-0.079056,0.995269,5.000013,0.000001,129.999999,652.499999,
0.550000,-0.787793,-0.711227,9.987833,0.713491,0.693755,0.098155,-0.698281,0.715596,0.018014,-0.057742,-0.081393,0.995008,5.000013,0.000002,129.999999,652.499999,
0.560000,-0.743325,-0.772415,9.985648,0.779792,0.618377,0.097637,-0.623291,0.781465,0.028654,-0.058581,-0.083200,0.994809,5.000013,0.000003,129.999999,652.499999,
0.570000,-0.695310,-0.829894,9.983430,0.838286,0.536835,0.095308,-0.542030,0.839446,0.039158,-0.058984,-0.084486,0.994677,5.000013,0.000005,129.999999,652.499999,
0.580000,-0.643982,-0.883393,9.981223,0.888380,0.449957,0.091213,-0.455310,0.888971,0.049224,-0.058937,-0.085259,0.994614,5.000013,0.000006,129.999999,652.499998,
0.590000,-0.589587,-0.932657,9.979068,0.929565,0.358618,0.085448,-0.363998,0.929557,0.058558,-0.058429,-0.085536,0.994620,5.000012,0.000007,129.999999,652.499998,
0.600000,-0.532387,-0.977455,9.977007,0.961422,0.263737,0.078158,-0.269008,0.960812,0.066888,-0.057454,-0.085333,0.994695,5.000011,0.000009,129.999999,652.499998,
0.610000,-0.472656,-1.017576,9.975078,0.983626,0.166265,0.069531,-0.171293,0.982439,0.073971,-0.056011,-0.084670,0.994834,5.000010,0.000010,129.999999,652.499998,
0.620000,-0.410679,-1.052833,9.973319,0.995948,0.067172,0.059793,-0.071835,0.994235,0.079598,-0.054101,-0.083571,0.995032,5.000009,0.000010,129.999999,652.499998,
0.630000,-0.346753,-1.083059,9.971763,0.998258,-0.032555,0.049202,0.028364,0.996095,0.083601,-0.051731,-0.082060,0.995284,5.000007,0.000011,129.999999,652.499998,
0.640000,-0.281182,-1.108113,9.970439,0.990529,-0.131927,0.038041,0.128295,0.988012,0.085859,-0.048912,-0.080165,0.995581,5.000006,0.000011,129.999999,652.499998,
0.650000,-0.214278,-1.127880,9.969373,0.972835,-0.229963,0.026609,0.226950,0.970075,0.086298,-0.045658,-0.077915,0.995914,5.000004,0.000012,129.999999,652.499998,
0.660000,-0.146358,-1.142266,9.968586,0.945353,-0.325693,0.015213,0.323333,0.942469,0.084898,-0.041989,-0.075340,0.996273,5.000003,0.000011,129.999999,652.499998,
0.670000,-0.077744,-1.151206,9.968092,0.908357,-0.418174,0.004160,0.416471,0.905471,0.081689,-0.037927,-0.072471,0.996649,5.000001,0.000011,129.999999,652.499998,
0.680000,-0.008763,-1.154656,9.967900,0.862221,-0.506493,-0.006255,0.505423,0.859451,0.076753,-0.033499,-0.069339,0.997031,5.000000,0.000011,130.000000,652.499998,
0.690000,0.060261,-1.152602,9.968014,0.807409,-0.589780,-0.015751,0.589290,0.804863,0.070219,-0.028736,-0.065978,0.997407,4.999999,0.000010,130.000000,652.499998,
0.700000,0.128998,-1.145053,9.968432,0.744478,-0.667212,-0.024077,0.667227,0.742247,0.062264,-0.023672,-0.062419,0.997769,4.999998,0.000009,130.000000,652.499998,
0.710000,0.197125,-1.132043,9.969147,0.674062,-0.738022,-0.031012,0.738446,0.672218,0.053102,-0.018344,-0.058695,0.998107,4.999997,0.000008,130.000000,652.499998,
0.720000,0.264317,-1.113634,9.970143,0.596876,-0.801508,-0.036375,0.802231,0.595464,0.042983,-0.012791,-0.054837,0.998413,4.999996,0.000006,130.000000,652.499998,
0.730000,0.330257,-1.089912,9.971404,0.513700,-0.857035,-0.040031,0.857940,0.512740,0.032182,-0.007056,-0.050876,0.998680,4.999995,0.000005,130.000000,652.499998,
0.740000,0.394629,-1.060985,9.972903,0.425377,-0.904046,-0.041891,0.905015,0.424860,0.020995,-0.001183,-0.046843,0.998902,4.999995,0.000004,130.000000,652.499998,
0.750000,0.457129,-1.026991,9.974614,0.332798,-0.942066,-0.041919,0.942986,0.332690,0.009728,0.004782,-0.042766,0.999074,4.999995,0.000002,130.000000,652.499998,
0.760000,0.517457,-0.988087,9.976503,0.236899,-0.970705,-0.040128,0.971474,0.237141,-0.001313,0.010791,-0.038672,0.999194,4.999995,0.000001,130.000000,652.499998,
0.770000,0.575326,-0.944457,9.978535,0.138647,-0.989665,-0.036585,0.990199,0.139159,-0.011826,0.016795,-0.034586,0.999261,4.999995,-0.000001,130.000000,652.499998,
0.780000,0.630459,-0.896305,9.980670,0.039032,-0.998744,-0.031406,0.998978,0.039718,-0.021527,0.022747,-0.030533,0.999275,4.999996,-0.000002,130.000000,652.499998,
0.790000,0.682589,-0.843858,9.982868,-0.060943,-0.997834,-0.024752,0.997731,-0.060189,-0.030153,0.028597,-0.026534,0.999239,4.999997,-0.000003,130.000000,652.499998,
0.800000,0.731467,-0.787364,9.985086,-0.160276,-0.986928,-0.016829,0.986476,-0.159564,-0.037473,0.034298,-0.022608,0.999156,4.999998,-0.000004,130.000000,652.499998,
0.810000,0.776856,-0.727090,9.987284,-0.257970,-0.966120,-0.007876,0.965332,-0.257407,-0.043295,0.039801,-0.018772,0.999031,4.999999,-0.000005,130.000000,652.499999,
0.820000,0.818536,-0.663323,9.989418,-0.353047,-0.935603,0.001839,0.934519,-0.352731,-0.047469,0.045061,-0.015040,0.998871,5.000000,-0.000006,130.000000,652.499999,
0.830000,0.856306,-0.596367,9.991447,-0.444557,-0.895669,0.012025,0.894352,-0.444573,-0.049893,0.050033,-0.011426,0.998682,5.000001,-0.000006,130.000000,652.499999,
0.840000,0.889981,-0.526541,9.993333,-0.531587,-0.846708,0.022378,0.845237,-0.531998,-0.050514,0.054676,-0.007937,0.998473,5.000003,-0.000006,130.000000,652.499999,
0.850000,0.919397,-0.454179,9.995040,-0.613269,-0.789201,0.032592,0.787671,-0.614117,-0.049333,0.058949,-0.004583,0.998250,5.000004,-0.000006,130.000000,652.499999,
0.860000,0.944411,-0.379628,9.996535,-0.688791,-0.723720,0.042361,0.722232,-0.690091,-0.046402,0.062815,-0.001367,0.998024,5.000005,-0.000006,130.000000,652.499999,
0.870000,0.964900,-0.303246,9.997789,-0.757402,-0.650922,0.051397,0.649579,-0.759142,-0.041824,0.066242,0.001709,0.997802,5.000007,-0.000005,130.000000,652.499999,
0.880000,0.980763,-0.225402,9.998779,-0.818420,-0.571538,0.059431,0.570438,-0.820562,-0.035750,0.069199,0.004644,0.997592,5.000008,-0.000004,130.000000,652.499999,
0.890000,0.991922,-0.146470,9.999484,-0.871239,-0.486370,0.066224,0.485599,-0.873720,-0.028372,0.071660,0.007440,0.997401,5.000009,-0.000004,130.000000,652.499999,
0.900000,0.998324,-0.066830,9.999893,-0.915334,-0.396283,0.071571,0.395910,-0.918072,-0.019922,0.073602,0.010101,0.997237,5.000009,-0.000002,130.000000,652.499999,
0.910000,0.999935,0.013132,9.999996,-0.950267,-0.302189,0.075313,0.302265,-0.953163,-0.010662,0.075008,0.012633,0.997103,5.000010,-0.000001,130.000000,652.499999,
0.920000,0.996749,0.093031,9.999792,-0.975691,-0.205048,0.077335,0.205597,-0.978636,-0.000879,0.075863,0.015043,0.997005,5.000010,0.000000,130.000000,652.499999,
0.930000,0.988781,0.172480,9.999285,-0.991351,-0.105848,0.077573,0.106869,-0.994231,0.009128,0.076159,0.017339,0.996945,5.000010,0.000001,130.000000,652.499999,
0.940000,0.976070,0.251097,9.998484,-0.997090,-0.005597,0.076013,0.007064,-0.999793,0.019049,0.075891,0.019530,0.996925,5.000010,0.000003,130.000000,652.499999,
0.950000,0.958679,0.328502,9.997406,-0.992849,0.094684,0.072696,-0.092822,-0.995272,0.028580,0.075059,0.021628,0.996945,5.000010,0.000004,130.000000,652.499999,
0.960000,0.936692,0.404323,9.996069,-0.978666,0.193977,0.067713,-0.191795,-0.980721,0.037427,0.073668,0.023641,0.997003,5.000009,0.000005,130.000000,652.499999,
0.970000,0.910219,0.478194,9.994502,-0.954679,0.291276,0.061203,-0.288865,-0.956296,0.045314,0.071727,0.025581,0.997096,5.000008,0.000006,130.000000,652.499999,
0.980000,0.879387,0.549761,9.992732,-0.921122,0.385599,0.053348,-0.383062,-0.922257,0.051996,0.069250,0.027459,0.997221,5.000007,0.000007,130.000000,652.499999,
0.990000,0.844349,0.618681,9.990795,-0.878327,0.475995,0.044373,-0.473445,-0.878960,0.057258,0.066257,0.029283,0.997373,5.000006,0.000008,130.000000,652.499999,
1.000000,0.805274,0.684625,9.988727,-0.826716,0.561557,0.034532,-0.559106,-0.826854,0.060930,0.062769,0.031065,0.997544,5.000005,0.000008,130.000000,652.499999,
1.010000,0.762353,0.747278,9.986567,-0.766800,0.641432,0.024106,-0.639185,-0.766477,0.062886,0.058814,0.032812,0.997730,5.000004,0.000009,130.000000,652.499999,
1.020000,0.715793,0.806341,9.984358,-0.699174,0.714825,0.013393,-0.712876,-0.698449,0.063047,0.054422,0.034533,0.997921,5.000002,0.000009,130.000000,652.499998,
1.030000,0.665821,0.861535,9.982142,-0.624512,0.781010,0.002700,-0.779436,-0.623465,0.061388,0.049628,0.036233,0.998110,5.000001,0.000009,130.000000,652.499998,
